2025-09-28 17:46:32.7|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [14] | ID(s): TVDbId:[74796] TVRageId:[2825] TvMazeId:[1905] for Season / Episode:[], Offset: 400, Limit: 100, Categories: [5070]
2025-09-28 17:46:34.7|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [] | ID(s): TVDbId:[74796] TVRageId:[2825] TvMazeId:[1905] for Season / Episode:[S01E14], Offset: 0, Limit: 100, Categories: [5070]
2025-09-28 17:46:36.7|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [BLEACH 14], Offset: 0, Limit: 100, Categories: [5070]
2025-09-28 17:46:38.8|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [BLEACH 14], Offset: 100, Limit: 100, Categories: [5070]
2025-09-28 17:46:40.8|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [BLEACH 14], Offset: 200, Limit: 100, Categories: [5070]
2025-09-28 17:46:42.8|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [BLEACH 14], Offset: 300, Limit: 100, Categories: [5070]
2025-09-28 17:46:44.8|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [BLEACH 14], Offset: 400, Limit: 100, Categories: [5070]
2025-09-28 17:46:45.6|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [], Offset: 0, Limit: 100, Categories: [2000, 2010, 2020, 2030, 2040, 2045, 2050, 2060]
2025-09-28 17:46:46.8|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [BLEACH 14], Offset: 500, Limit: 100, Categories: [5070]
2025-09-28 17:46:50.4|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [BLEACH] for Season / Episode:[S01E14], Offset: 0, Limit: 100, Categories: [5070]
2025-09-28 17:46:56.9|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [15] | ID(s): TVDbId:[74796] TVRageId:[2825] TvMazeId:[1905] for Season / Episode:[], Offset: 0, Limit: 100, Categories: [5070]
2025-09-28 17:46:58.9|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [15] | ID(s): TVDbId:[74796] TVRageId:[2825] TvMazeId:[1905] for Season / Episode:[], Offset: 100, Limit: 100, Categories: [5070]
2025-09-28 17:47:00.9|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [15] | ID(s): TVDbId:[74796] TVRageId:[2825] TvMazeId:[1905] for Season / Episode:[], Offset: 200, Limit: 100, Categories: [5070]
2025-09-28 17:47:02.9|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [15] | ID(s): TVDbId:[74796] TVRageId:[2825] TvMazeId:[1905] for Season / Episode:[], Offset: 300, Limit: 100, Categories: [5070]
2025-09-28 17:47:04.9|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [] | ID(s): TVDbId:[74796] TVRageId:[2825] TvMazeId:[1905] for Season / Episode:[S01E15], Offset: 0, Limit: 100, Categories: [5070]
2025-09-28 17:47:06.9|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [BLEACH 15], Offset: 0, Limit: 100, Categories: [5070]
2025-09-28 17:47:08.9|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [BLEACH 15], Offset: 100, Limit: 100, Categories: [5070]
2025-09-28 17:47:10.9|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [BLEACH 15], Offset: 200, Limit: 100, Categories: [5070]
2025-09-28 17:47:12.9|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [BLEACH 15], Offset: 300, Limit: 100, Categories: [5070]
2025-09-28 17:47:14.9|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [BLEACH] for Season / Episode:[S01E15], Offset: 0, Limit: 100, Categories: [5070]
2025-09-28 17:47:21.8|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [16] | ID(s): TVDbId:[74796] TVRageId:[2825] TvMazeId:[1905] for Season / Episode:[], Offset: 0, Limit: 100, Categories: [5070]
