2025-11-15 10:15:01.7|Info|ReleaseSearchService|Searching indexer(s): [Nzb.su] for Term: [Smiling Friends] for Season / Episode:[S01E04], Offset: 0, Limit: 100, Categories: [5000, 5020, 5040, 5050, 5030, 5045]
2025-11-15 10:15:05.1|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [] | ID(s): TVDbId:[379403] TvMazeId:[47182] for Season / Episode:[S01E08], Offset: 0, Limit: 100, Categories: [5000, 5020, 5030, 5040, 5045, 5050]
2025-11-15 10:15:05.1|Info|ReleaseSearchService|Searching indexer(s): [Nzb.su] for Term: [] | ID(s): TVDbId:[379403] TvMazeId:[47182] for Season / Episode:[S01E08], Offset: 0, Limit: 100, Categories: [5000, 5020, 5040, 5050, 5030, 5045]
2025-11-15 10:15:07.1|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [] | ID(s): TVDbId:[402910] TvMazeId:[55350] for Season / Episode:[S03E14], Offset: 0, Limit: 100, Categories: [5000, 5020, 5030, 5040, 5045, 5050]
2025-11-15 10:15:07.1|Info|ReleaseSearchService|Searching indexer(s): [Nzb.su] for Term: [] | ID(s): TVDbId:[402910] TvMazeId:[55350] for Season / Episode:[S03E14], Offset: 0, Limit: 100, Categories: [5000, 5020, 5040, 5050, 5030, 5045]
2025-11-15 10:15:09.1|Info|ReleaseSearchService|Searching indexer(s): [Nzb.su] for Term: [Smiling Friends] for Season / Episode:[S01E08], Offset: 0, Limit: 100, Categories: [5000, 5020, 5040, 5050, 5030, 5045]
2025-11-15 10:15:09.1|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [] | ID(s): TVDbId:[379403] TvMazeId:[47182] for Season / Episode:[S01E07], Offset: 0, Limit: 100, Categories: [5000, 5020, 5030, 5040, 5045, 5050]
2025-11-15 10:15:11.1|Info|ReleaseSearchService|Searching indexer(s): [Nzb.su] for Term: [] | ID(s): TVDbId:[379403] TvMazeId:[47182] for Season / Episode:[S01E07], Offset: 0, Limit: 100, Categories: [5000, 5020, 5040, 5050, 5030, 5045]
2025-11-15 10:15:11.1|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [] | ID(s): TVDbId:[402910] TvMazeId:[55350] for Season / Episode:[S03E13], Offset: 0, Limit: 100, Categories: [5000, 5020, 5030, 5040, 5045, 5050]
2025-11-15 10:15:13.1|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [] | ID(s): TVDbId:[379403] TvMazeId:[47182] for Season / Episode:[S01E05], Offset: 0, Limit: 100, Categories: [5000, 5020, 5030, 5040, 5045, 5050]
2025-11-15 10:15:13.1|Info|ReleaseSearchService|Searching indexer(s): [Nzb.su] for Term: [] | ID(s): TVDbId:[402910] TvMazeId:[55350] for Season / Episode:[S03E13], Offset: 0, Limit: 100, Categories: [5000, 5020, 5040, 5050, 5030, 5045]
2025-11-15 10:15:15.1|Info|ReleaseSearchService|Searching indexer(s): [Nzb.su] for Term: [Smiling Friends] for Season / Episode:[S01E07], Offset: 0, Limit: 100, Categories: [5000, 5020, 5040, 5050, 5030, 5045]
2025-11-15 10:15:15.9|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [] | ID(s): TVDbId:[402910] TvMazeId:[55350] for Season / Episode:[S03E12], Offset: 0, Limit: 100, Categories: [5000, 5020, 5030, 5040, 5045, 5050]
2025-11-15 10:15:17.1|Info|ReleaseSearchService|Searching indexer(s): [Nzb.su] for Term: [] | ID(s): TVDbId:[379403] TvMazeId:[47182] for Season / Episode:[S01E05], Offset: 0, Limit: 100, Categories: [5000, 5020, 5040, 5050, 5030, 5045]
2025-11-15 10:15:18.4|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [] | ID(s): TVDbId:[379403] TvMazeId:[47182] for Season / Episode:[S01E04], Offset: 0, Limit: 100, Categories: [5000, 5020, 5030, 5040, 5045, 5050]
2025-11-15 10:15:19.1|Info|ReleaseSearchService|Searching indexer(s): [Nzb.su] for Term: [] | ID(s): TVDbId:[402910] TvMazeId:[55350] for Season / Episode:[S03E12], Offset: 0, Limit: 100, Categories: [5000, 5020, 5040, 5050, 5030, 5045]
2025-11-15 10:15:21.1|Info|ReleaseSearchService|Searching indexer(s): [Nzb.su] for Term: [Smiling Friends] for Season / Episode:[S01E05], Offset: 0, Limit: 100, Categories: [5000, 5020, 5040, 5050, 5030, 5045]
2025-11-15 10:15:21.2|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [] | ID(s): TVDbId:[379403] TvMazeId:[47182] for Season / Episode:[S01E02], Offset: 0, Limit: 100, Categories: [5000, 5020, 5030, 5040, 5045, 5050]
