2025-11-08 05:16:18.6|Info|ReleaseSearchService|Searching indexer(s): [Nzb.su] for Term: [Jujutsu Kaisen 2023] for Season / Episode:[S02E02], Offset: 0, Limit: 100, Categories: [5070]
2025-11-08 05:16:19.7|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [02] | ID(s): TVDbId:[377543] TvMazeId:[48450] for Season / Episode:[], Offset: 900, Limit: 100, Categories: [5070]
2025-11-08 05:16:20.6|Info|ReleaseSearchService|Searching indexer(s): [Nzb.su] for Term: [Jujutsu Kaisen 02], Offset: 0, Limit: 100, Categories: [5070]
2025-11-08 05:16:21.7|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [] | ID(s): TVDbId:[377543] TvMazeId:[48450] for Season / Episode:[S02E02], Offset: 0, Limit: 100, Categories: [5070]
2025-11-08 05:16:22.6|Info|ReleaseSearchService|Searching indexer(s): [Nzb.su] for Term: [Jujutsu Kaisen] for Season / Episode:[S02E02], Offset: 0, Limit: 100, Categories: [5070]
2025-11-08 05:16:23.7|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [Jujutsu Kaisen 2nd Season 02], Offset: 0, Limit: 100, Categories: [5070]
2025-11-08 05:16:27.4|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [Jujutsu Kaisen 2nd Season] for Season / Episode:[S02E02], Offset: 0, Limit: 100, Categories: [5070]
2025-11-08 05:16:29.6|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [Jujutsu Kaisen S2 02], Offset: 0, Limit: 100, Categories: [5070]
2025-11-08 05:16:31.7|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [] | ID(s): IMDbId:[2294449], Offset: 0, Limit: 100, Categories: [2000, 2010, 2020, 2030, 2040, 2045, 2050, 2060]
2025-11-08 05:16:31.7|Info|ReleaseSearchService|Searching indexer(s): [Nzb.su] for Term: [] | ID(s): IMDbId:[2294449], Offset: 0, Limit: 100, Categories: [2000, 2010, 2040, 2020, 2030, 2045]
2025-11-08 05:16:31.8|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [Jujutsu Kaisen S2] for Season / Episode:[S02E02], Offset: 0, Limit: 100, Categories: [5070]
2025-11-08 05:16:33.7|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [] | ID(s): IMDbId:[2294449], Offset: 100, Limit: 100, Categories: [2000, 2010, 2020, 2030, 2040, 2045, 2050, 2060]
2025-11-08 05:16:34.6|Info|ReleaseSearchService|Searching indexer(s): [Nzb.su] for Term: [22] | ID(s): TVDbId:[377543] TvMazeId:[48450] for Season / Episode:[], Offset: 0, Limit: 100, Categories: [5070]
2025-11-08 05:16:34.6|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [22] | ID(s): TVDbId:[377543] TvMazeId:[48450] for Season / Episode:[], Offset: 0, Limit: 100, Categories: [5070]
2025-11-08 05:16:36.6|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [Jujutsu Kaisen 2023 02], Offset: 0, Limit: 100, Categories: [5070]
2025-11-08 05:16:36.6|Info|ReleaseSearchService|Searching indexer(s): [Nzb.su] for Term: [] | ID(s): TVDbId:[377543] TvMazeId:[48450] for Season / Episode:[S02E22], Offset: 0, Limit: 100, Categories: [5070]
2025-11-08 05:16:38.6|Info|ReleaseSearchService|Searching indexer(s): [Nzb.su] for Term: [21] | ID(s): TVDbId:[377543] TvMazeId:[48450] for Season / Episode:[], Offset: 0, Limit: 100, Categories: [5070]
2025-11-08 05:16:38.6|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [21] | ID(s): TVDbId:[377543] TvMazeId:[48450] for Season / Episode:[], Offset: 0, Limit: 100, Categories: [5070]
2025-11-08 05:16:40.6|Info|ReleaseSearchService|Searching indexer(s): [Nzb.su] for Term: [Jujutsu Kaisen 2nd Season 22], Offset: 0, Limit: 100, Categories: [5070]
2025-11-08 05:16:40.6|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [22] | ID(s): TVDbId:[377543] TvMazeId:[48450] for Season / Episode:[], Offset: 100, Limit: 100, Categories: [5070]
2025-11-08 05:16:42.6|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [Jujutsu Kaisen 2023] for Season / Episode:[S02E02], Offset: 0, Limit: 100, Categories: [5070]
2025-11-08 05:16:42.6|Info|ReleaseSearchService|Searching indexer(s): [Nzb.su] for Term: [] | ID(s): TVDbId:[377543] TvMazeId:[48450] for Season / Episode:[S02E21], Offset: 0, Limit: 100, Categories: [5070]
2025-11-08 05:16:44.6|Info|ReleaseSearchService|Searching indexer(s): [Nzb.su] for Term: [Jujutsu Kaisen 2nd Season] for Season / Episode:[S02E22], Offset: 0, Limit: 100, Categories: [5070]
2025-11-08 05:16:44.6|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [21] | ID(s): TVDbId:[377543] TvMazeId:[48450] for Season / Episode:[], Offset: 100, Limit: 100, Categories: [5070]
2025-11-08 05:16:46.6|Info|ReleaseSearchService|Searching indexer(s): [Nzb.su] for Term: [Jujutsu Kaisen 2nd Season 21], Offset: 0, Limit: 100, Categories: [5070]
2025-11-08 05:16:46.6|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [] | ID(s): TVDbId:[377543] TvMazeId:[48450] for Season / Episode:[S02E22], Offset: 0, Limit: 100, Categories: [5070]
2025-11-08 05:16:48.6|Info|ReleaseSearchService|Searching indexer(s): [Nzb.su] for Term: [Jujutsu Kaisen S2 22], Offset: 0, Limit: 100, Categories: [5070]
2025-11-08 05:16:48.6|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [Jujutsu Kaisen 02], Offset: 0, Limit: 100, Categories: [5070]
2025-11-08 05:16:50.6|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [21] | ID(s): TVDbId:[377543] TvMazeId:[48450] for Season / Episode:[], Offset: 200, Limit: 100, Categories: [5070]
2025-11-08 05:16:50.6|Info|ReleaseSearchService|Searching indexer(s): [Nzb.su] for Term: [Jujutsu Kaisen 2nd Season] for Season / Episode:[S02E21], Offset: 0, Limit: 100, Categories: [5070]
2025-11-08 05:16:52.6|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [Jujutsu Kaisen 2nd Season 22], Offset: 0, Limit: 100, Categories: [5070]
2025-11-08 05:16:52.6|Info|ReleaseSearchService|Searching indexer(s): [Nzb.su] for Term: [Jujutsu Kaisen S2] for Season / Episode:[S02E22], Offset: 0, Limit: 100, Categories: [5070]
2025-11-08 05:16:54.6|Info|ReleaseSearchService|Searching indexer(s): [Nzb.su] for Term: [Jujutsu Kaisen S2 21], Offset: 0, Limit: 100, Categories: [5070]
2025-11-08 05:16:54.6|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [Jujutsu Kaisen 02], Offset: 100, Limit: 100, Categories: [5070]
2025-11-08 05:16:56.6|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [21] | ID(s): TVDbId:[377543] TvMazeId:[48450] for Season / Episode:[], Offset: 300, Limit: 100, Categories: [5070]
2025-11-08 05:16:56.6|Info|ReleaseSearchService|Searching indexer(s): [Nzb.su] for Term: [Jujutsu Kaisen 2023 22], Offset: 0, Limit: 100, Categories: [5070]
2025-11-08 05:16:58.6|Info|ReleaseSearchService|Searching indexer(s): [Nzb.su] for Term: [Jujutsu Kaisen S2] for Season / Episode:[S02E21], Offset: 0, Limit: 100, Categories: [5070]
2025-11-08 05:16:58.6|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [Jujutsu Kaisen 2nd Season] for Season / Episode:[S02E22], Offset: 0, Limit: 100, Categories: [5070]
2025-11-08 05:17:00.6|Info|ReleaseSearchService|Searching indexer(s): [Nzb.su] for Term: [Jujutsu Kaisen 2023] for Season / Episode:[S02E22], Offset: 0, Limit: 100, Categories: [5070]
2025-11-08 05:17:00.6|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [Jujutsu Kaisen 02], Offset: 200, Limit: 100, Categories: [5070]
2025-11-08 05:17:02.6|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [] | ID(s): TVDbId:[377543] TvMazeId:[48450] for Season / Episode:[S02E21], Offset: 0, Limit: 100, Categories: [5070]
2025-11-08 05:17:02.6|Info|ReleaseSearchService|Searching indexer(s): [Nzb.su] for Term: [Jujutsu Kaisen 2023 21], Offset: 0, Limit: 100, Categories: [5070]
2025-11-08 05:17:04.6|Info|ReleaseSearchService|Searching indexer(s): [Nzb.su] for Term: [Jujutsu Kaisen 22], Offset: 0, Limit: 100, Categories: [5070]
2025-11-08 05:17:04.6|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [Jujutsu Kaisen S2 22], Offset: 0, Limit: 100, Categories: [5070]
2025-11-08 05:17:06.6|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [Jujutsu Kaisen 02], Offset: 300, Limit: 100, Categories: [5070]
2025-11-08 05:17:06.6|Info|ReleaseSearchService|Searching indexer(s): [Nzb.su] for Term: [Jujutsu Kaisen 2023] for Season / Episode:[S02E21], Offset: 0, Limit: 100, Categories: [5070]
